 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,1347.846,0.929,0.526,1.000,1076.019,0.015,5.293,0.189,0.317
2,19.749,0.866,0.526,1.000,28.171,0.313,1.505,0.664,0.711
3,64.381,0.894,0.526,1.000,101.280,0.079,2.081,0.480,0.331
4,4104.909,0.968,0.525,1.000,1437.257,0.025,2.886,0.346,0.486
5,159.749,0.984,0.526,1.000,57.506,0.607,1.925,0.519,0.934
6,63.072,0.976,0.527,1.000,41.206,0.467,3.182,0.314,0.934
7,164.542,0.976,0.530,1.000,68.279,0.444,2.583,0.387,0.829
8,47.959,0.982,0.528,1.000,37.070,0.439,3.625,0.276,0.955
9,62.705,0.985,0.529,1.000,37.678,0.555,3.032,0.330,0.980
10,183.532,0.987,0.530,1.000,56.181,0.731,1.646,0.608,0.941
11,215.382,0.951,0.527,1.000,81.943,0.403,2.587,0.387,0.812
12,155.663,0.978,0.530,1.000,63.408,0.487,3.057,0.327,0.869
13,124.939,0.978,0.529,1.000,50.970,0.604,2.635,0.380,0.960
14,6.181,0.798,0.526,0.988,17.365,0.258,3.645,0.274,0.669
15,453.682,0.957,0.526,1.000,273.909,0.076,1.907,0.524,0.440
16,111.083,0.965,0.527,1.000,45.844,0.664,1.185,0.844,0.904
17,136.306,0.981,0.526,1.000,59.589,0.482,2.653,0.377,0.888
18,47.959,0.977,0.530,1.000,35.887,0.468,3.363,0.297,0.958
19,5.134,0.714,0.527,0.912,20.997,0.146,10.626,0.094,0.554
20,178.686,0.970,0.527,1.000,58.546,0.655,1.943,0.515,0.925
21,4.610,0.832,0.540,1.000,11.967,0.405,3.879,0.258,0.693
22,149.219,0.983,0.527,1.000,52.167,0.689,1.727,0.579,0.908
23,6.077,0.631,0.526,0.851,13.363,0.428,2.327,0.430,0.742
24,6.208,0.791,0.529,0.981,24.911,0.126,2.117,0.472,0.360
25,113.571,0.979,0.530,1.000,45.458,0.691,1.629,0.614,0.928
26,5.343,0.878,0.547,1.000,10.806,0.575,2.288,0.437,0.797
27,97.541,0.970,0.526,1.000,45.703,0.587,1.723,0.580,0.856
28,596.563,0.975,0.526,1.000,181.417,0.228,1.516,0.659,0.774
29,175.045,0.945,0.527,1.000,85.314,0.302,3.565,0.280,0.680
30,93.220,0.968,0.528,1.000,52.428,0.426,2.588,0.386,0.818
31,1075.103,0.970,0.525,1.000,333.020,0.122,2.610,0.383,0.479
32,75.670,0.971,0.526,1.000,37.264,0.685,1.593,0.628,0.937
33,86.907,0.976,0.526,1.000,40.004,0.682,1.817,0.550,0.937
34,101.732,0.980,0.527,1.000,57.640,0.385,2.426,0.412,0.703
35,80.045,0.978,0.530,1.000,38.173,0.690,1.394,0.717,0.915
36,212.815,0.985,0.530,1.000,68.355,0.572,2.398,0.417,0.880
37,332.620,0.970,0.526,1.000,120.025,0.290,3.041,0.329,0.744
38,104.299,0.978,0.526,1.000,45.143,0.643,1.921,0.521,0.886
39,108.752,0.982,0.526,1.000,40.667,0.826,1.223,0.818,0.966
40,77.425,0.977,0.526,1.000,38.905,0.643,2.072,0.483,0.924
41,6.548,0.850,0.540,0.992,13.284,0.466,2.026,0.494,0.737
42,79.364,0.982,0.532,1.000,36.214,0.760,1.246,0.802,0.923
43,154.825,0.980,0.526,1.000,62.011,0.506,1.694,0.590,0.849
44,136.516,0.980,0.526,1.000,62.564,0.438,2.189,0.457,0.860
45,40.991,0.980,0.531,1.000,28.409,0.638,2.687,0.372,0.954
46,87.719,0.972,0.529,1.000,42.348,0.615,2.002,0.500,0.917
47,107.783,0.982,0.527,1.000,45.444,0.656,2.008,0.498,0.951
48,4.767,0.584,0.526,0.703,21.076,0.135,7.878,0.127,0.548
49,107.180,0.963,0.526,1.000,59.278,0.383,1.967,0.508,0.718
50,67.787,0.978,0.528,1.000,33.389,0.764,1.231,0.812,0.942
51,69.646,0.978,0.529,1.000,37.944,0.608,2.104,0.475,0.894
52,62.836,0.942,0.528,1.000,38.205,0.541,2.176,0.460,0.830
53,137.354,0.978,0.527,1.000,49.037,0.718,1.352,0.739,0.944
54,59.222,0.982,0.527,1.000,43.999,0.384,4.664,0.214,0.880
55,138.061,0.971,0.526,1.000,46.523,0.802,1.367,0.732,0.962
56,63.674,0.977,0.526,1.000,36.143,0.613,2.171,0.461,0.911
57,53.721,0.983,0.528,1.000,35.341,0.541,2.817,0.355,0.927
58,64.958,0.975,0.527,1.000,38.029,0.564,2.449,0.408,0.883
59,87.771,0.981,0.526,1.000,43.708,0.577,2.968,0.337,0.937
60,477.596,0.940,0.526,1.000,242.877,0.102,2.771,0.361,0.540
61,8.172,0.657,0.527,0.807,43.303,0.055,1.338,0.748,0.130
62,50.840,0.941,0.526,1.000,50.685,0.249,4.647,0.215,0.704
63,386.656,0.935,0.526,1.000,155.481,0.201,4.979,0.201,0.661
64,93.874,0.975,0.530,1.000,52.579,0.427,1.201,0.832,0.721
65,143.850,0.974,0.526,1.000,54.900,0.600,1.770,0.565,0.869
66,102.073,0.974,0.527,1.000,54.557,0.431,3.751,0.267,0.891
67,79.992,0.926,0.526,1.000,65.942,0.231,4.144,0.241,0.715
68,142.959,0.982,0.529,1.000,51.869,0.668,1.744,0.573,0.932
69,51.233,0.978,0.527,1.000,31.329,0.656,2.395,0.417,0.950
70,6.601,0.892,0.537,0.989,10.348,0.775,1.462,0.684,0.902
71,53.616,0.983,0.527,1.000,34.527,0.565,2.509,0.399,0.870
72,174.757,0.962,0.528,1.000,70.722,0.439,2.939,0.340,0.898
73,5.762,0.780,0.525,0.984,20.294,0.176,8.347,0.120,0.550
74,67.708,0.975,0.526,1.000,33.540,0.756,1.422,0.703,0.953
75,150.084,0.974,0.526,1.000,48.387,0.806,1.470,0.680,0.959
76,285.290,0.950,0.526,1.000,94.400,0.402,1.651,0.606,0.784
77,121.900,0.974,0.527,1.000,47.929,0.667,1.803,0.554,0.896
78,102.806,0.972,0.526,1.000,43.927,0.670,1.507,0.664,0.904
79,6.312,0.854,0.536,1.000,21.707,0.168,3.277,0.305,0.390
80,198.671,0.981,0.526,1.000,72.903,0.470,1.902,0.526,0.780
81,2297.722,0.957,0.526,1.000,875.973,0.038,2.424,0.413,0.402
82,81.983,0.976,0.529,1.000,37.296,0.741,1.276,0.783,0.951
83,133.582,0.979,0.529,1.000,49.136,0.695,1.706,0.586,0.925
84,117.002,0.970,0.528,1.000,49.515,0.600,2.030,0.493,0.889
85,123.655,0.945,0.526,1.000,64.977,0.368,1.435,0.697,0.551
86,253.021,0.973,0.526,1.000,121.122,0.217,5.170,0.193,0.679
87,112.131,0.983,0.527,1.000,44.826,0.701,1.463,0.683,0.923
88,174.836,0.987,0.527,1.000,56.682,0.684,1.316,0.760,0.886
89,94.372,0.923,0.526,1.000,55.041,0.391,2.432,0.411,0.747
90,4.924,0.873,0.527,1.000,12.313,0.408,1.057,0.946,0.698
91,4.662,0.895,0.542,1.000,8.920,0.736,1.602,0.624,0.886
92,128.842,0.972,0.526,1.000,58.245,0.477,3.141,0.318,0.888
93,29.126,0.841,0.527,1.000,35.851,0.285,4.048,0.247,0.582
94,134.159,0.979,0.526,1.000,48.021,0.731,1.381,0.724,0.936
95,50.892,0.953,0.526,1.000,32.101,0.621,1.909,0.524,0.931
96,165.878,0.916,0.525,1.000,84.562,0.292,1.507,0.663,0.676
97,93.927,0.935,0.527,1.000,81.924,0.176,2.407,0.416,0.652
98,5.343,0.595,0.527,0.926,21.714,0.142,6.295,0.159,0.580
99,133.949,0.853,0.526,1.000,73.687,0.310,3.071,0.326,0.758
100,29.257,0.941,0.527,1.000,25.235,0.577,2.233,0.448,0.896
101,152.677,0.936,0.527,1.000,51.258,0.730,1.195,0.837,0.932
102,86.305,0.719,0.526,1.000,196.354,0.028,18.367,0.054,0.281
103,191.809,0.974,0.528,1.000,69.280,0.502,1.695,0.590,0.828
104,30.593,0.874,0.528,1.000,30.865,0.404,3.876,0.258,0.824
105,132.194,0.983,0.527,1.000,46.082,0.782,1.459,0.685,0.960
106,57.152,0.956,0.527,1.000,38.274,0.490,1.258,0.795,0.752
107,99.532,0.978,0.526,1.000,41.622,0.722,1.470,0.680,0.909
108,49.871,0.935,0.528,1.000,30.264,0.684,1.642,0.609,0.946
109,47.121,0.976,0.527,1.000,29.103,0.699,1.982,0.505,0.951
110,104.299,0.953,0.526,1.000,54.962,0.434,1.673,0.598,0.818
111,82.900,0.925,0.527,1.000,78.288,0.170,3.447,0.290,0.406
112,17.680,0.877,0.533,0.995,18.084,0.679,2.111,0.474,0.939
113,190.787,0.981,0.526,1.000,72.360,0.458,2.128,0.470,0.856
114,278.035,0.983,0.526,1.000,95.646,0.382,3.283,0.305,0.838
115,59.641,0.985,0.540,1.000,32.363,0.716,2.004,0.499,0.926
