 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,108265.784,0,0,0,1324.131,0.776,1.018,0.982,0.987
2,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
3,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
4,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
5,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
6,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
7,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
8,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
9,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
10,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
11,18172.366,0,0,0,4117.675,0.013,2.324,0.430,0.557
12,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14,0.262,0,0,0,2.573,0.497,1.737,0.576,0.625
15,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
16,20.090,0,0,0,86.672,0.034,3.086,0.324,0.363
17,0.341,0,0,0,4.767,0.188,1.597,0.626,0.382
18,0.105,0,0,0,1.563,0.539,3.093,0.323,0.667
19,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
20,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
21,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
22,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
23,0.157,0,0,0,2.060,0.465,2.745,0.364,0.545
24,0.655,0,0,0,6.922,0.172,1.555,0.643,0.543
25,0.079,0,0,0,1.105,0.809,3.000,0.333,1.000
26,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
27,1.938,0,0,0,14.010,0.124,1.641,0.609,0.488
28,54.952,0,0,0,230.890,0.013,2.804,0.357,0.365
29,0.131,0,0,0,1.831,0.491,3.986,0.251,0.588
30,0.105,0,0,0,1.602,0.513,3.850,0.260,0.571
31,0.079,0,0,0,1.144,0.754,2.702,0.370,0.667
32,6751.281,0,0,0,2369.905,0.015,2.505,0.399,0.540
33,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
34,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
35,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
36,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
37,1.729,0,0,0,9.361,0.248,1.586,0.630,0.629
38,2.017,0,0,0,14.413,0.122,1.871,0.535,0.441
